2023-01-01,2023-01-01,25386,25270,0,116,20,發佈日期：2023-01-01 中央流行疫情指揮中心今(1)日公布國內新增25,386例COVID-19確定病例，分別為25,270例本土個案及116例境外移入；另確診個案中新增20例死亡(其中1例為境外移入個案)。,https://www.cdc.gov.tw/Bulletin/Detail/zX6f1ci0EJqg7ob6WnYFxQ?typeid=9
2023-01-02,2023-01-02,16602,16524,0,78,26,發佈日期：2023-01-02 中央流行疫情指揮中心今(2)日公布國內新增16,602例COVID-19確定病例，分別為16,524例本土個案及78例境外移入；另確診個案中新增26例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/rT5Md5baIT4ifCqYz0cLYg?typeid=9
2023-01-03,105,42,0,63,0,發佈日期：2023-01-03 中央流行疫情指揮中心今(3)日公布國內新增105例Omicron亞型變異株確定病例，分別為42例本土個案(26例BA.5、8例BA.2.75、6例BQ.1及2例BF.7)及63例境外移入(37例BA.5、9例BA.2.75、2例BQ.1、2例XBB、12例BF.7及1例BA.2)。截至目前國內累計檢出之Omicron亞型變異株境外移入確定病例：XBB為27例、BF.7為22例、BQ.1為31例、BA.5為1,325例、BA.4為104例、BA.2.75為125例、BA.2為1,030例；另累計本土確定病例XBB為3例、BF.7為5例、BQ.1為14例、BA.5為1,527例、BA.4為5例、BA.2.75為23例、BA.2為2,534例。,https://www.cdc.gov.tw/Bulletin/Detail/dLabkXx-h6nW-ITNMTCDxA?typeid=9
2023-01-04,2023-01-04,33871,33330,0,541,17,發佈日期：2023-01-04 中央流行疫情指揮中心今(4)日公布國內新增33,871例COVID-19確定病例，分別為33,330例本土個案及541例境外移入；另確診個案中新增17例死亡(其中1例為境外移入個案)。,https://www.cdc.gov.tw/Bulletin/Detail/_j0NgXobOOkyrJ7_sPwKHA?typeid=9
2023-01-05,31514,31078,0,436,45,發佈日期：2023-01-05 中央流行疫情指揮中心今(5)日公布國內新增31,514例COVID-19確定病例，分別為31,078例本土個案及436例境外移入；另確診個案中新增45例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/3VqGMFzgI9OcawC7-98TFA?typeid=9
2023-01-06,2023-01-06,27676,27281,0,395,62,發佈日期：2023-01-06 中央流行疫情指揮中心今(6)日公布國內新增27,676例COVID-19確定病例，分別為27,281例本土個案及395例境外移入；另確診個案中新增62例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/RzOsoPdDomPbtz8-lgfnkA?typeid=9
2023-01-07,24422,24132,0,290,61,發佈日期：2023-01-07 中央流行疫情指揮中心今(7)日公布國內新增24,422例COVID-19確定病例，分別為24,132例本土個案及290例境外移入；另確診個案中新增61例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/fADNL9GKb4m9DfMgr9irOA?typeid=9
2023-01-08,2023-01-08,23411,23080,0,331,36,發佈日期：2023-01-08 中央流行疫情指揮中心今(8)日公布國內新增23,411例COVID-19確定病例，分別為23,080例本土個案及331例境外移入；另確診個案中新增36例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/3Z1eQQ47L4v8NgvaAcwPyQ?typeid=9
2023-01-08,23411,23080,0,331,36,發佈日期：2023-01-08 中央流行疫情指揮中心今(8)日公布國內新增23,411例COVID-19確定病例，分別為23,080例本土個案及331例境外移入；另確診個案中新增36例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/3Z1eQQ47L4v8NgvaAcwPyQ?typeid=9
2023-01-09,134,47,0,87,0,發佈日期：2023-01-09 中央流行疫情指揮中心今(9)日公布國內新增134例Omicron亞型變異株確定病例，分別為47例本土個案( 26例BA.5、13例BA.2.75、4例BF.7、3例BA.2及1例BQ.1)及87例境外移入( 51例BA.5、10例BA.2.75、21例BF.7、4例BQ.1及1例XBB)。截至目前國內累計檢出之Omicron亞型變異株境外移入確定病例：XBB為28例、BF.7為43例、BQ.1為35例、BA.5為1,376例、BA.4為104例、BA.2.75為135例、BA.2為1,030例；另累計本土確定病例XBB為3例、BF.7為9例、BQ.1為15例、BA.5為1,553例、BA.4為5例、BA.2.75為36例、BA.2為2,537例。,https://www.cdc.gov.tw/Bulletin/Detail/bub90Axh7MBNQwJbn8wlXg?typeid=9
2023-01-10,2023-01-10,25063,24503,0,560,26,發佈日期：2023-01-10 中央流行疫情指揮中心今(10)日公布國內新增25,063例COVID-19確定病例，分別為24,503例本土個案及560例境外移入；另確診個案中新增26例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/Kxa8UHM_XfdY19rarVTTjg?typeid=9
2023-01-11,2023-01-11,25643,25245,0,398,46,發佈日期：2023-01-11 中央流行疫情指揮中心今(11)日公布國內新增25,643例COVID-19確定病例，分別為25,245例本土個案及398例境外移入；另確診個案中新增46例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/ghRg_lZVlZlehd0nhLmdEw?typeid=9
2023-01-12,22937,22653,0,284,48,發佈日期：2023-01-12 中央流行疫情指揮中心今(12)日公布國內新增22,937例COVID-19確定病例，分別為22,653例本土個案及284例境外移入；另確診個案中新增48例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/_6WcrjIg2d3L4JK3aTwN1Q?typeid=9
2023-01-13,2023-01-13,21737,21384,0,353,53,發佈日期：2023-01-13 中央流行疫情指揮中心今(13)日公布國內新增21,737例COVID-19確定病例，分別為21,384例本土個案及353例境外移入；另確診個案中新增53例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/TV8jwaM4FYuFUNBvlsAA4Q?typeid=9
2023-01-14,20412,20149,0,263,47,發佈日期：2023-01-14 中央流行疫情指揮中心今(14)日公布國內新增20,412例COVID-19確定病例，分別為20,149例本土個案及263例境外移入；另確診個案中新增47例死亡(其中1例為境外移入個案)。,https://www.cdc.gov.tw/Bulletin/Detail/ys4JHEvFNU8cXJFcu9HJ5g?typeid=9
2023-01-15,21270,20972,0,298,31,發佈日期：2023-01-15 中央流行疫情指揮中心今(15)日公布國內新增21,270例COVID-19確定病例，分別為20,972例本土個案及298例境外移入；另確診個案中新增31例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/OmrbdioK8Z69mPOnBSFVbg?typeid=9
2023-01-16,15632,15409,0,223,40,發佈日期：2023-01-16 中央流行疫情指揮中心今(16)日公布國內新增15,632例COVID-19確定病例，分別為15,409例本土個案及223例境外移入；另確診個案中新增40例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/YbsDJlXuYdeDbK2tfhbK_Q?typeid=9
2023-01-17,2023-01-17,19970,19658,0,312,30,發佈日期：2023-01-17 中央流行疫情指揮中心今(17)日公布國內新增19,970例COVID-19確定病例，分別為19,658例本土個案及312例境外移入；另確診個案中新增30例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/yt0Nv0UtURFPMyCj6hHVig?typeid=9
2023-01-18,2023-01-18,21031,20768,0,263,26,發佈日期：2023-01-18 中央流行疫情指揮中心今(18)日公布國內新增21,031例COVID-19確定病例，分別為20,768例本土個案及263例境外移入；另確診個案中新增26例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/6njUJyBSbG5VJbdlmgRjFQ?typeid=9
2023-01-19,18414,18024,0,390,48,發佈日期：2023-01-19 中央流行疫情指揮中心今(19)日公布國內新增18,414例COVID-19確定病例，分別為18,024例本土個案及390例境外移入；另確診個案中新增48例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/4An7fMfuRTBjCvk0OwcmAw?typeid=9
2023-01-20,2023-01-20,18218,17869,0,349,61,發佈日期：2023-01-20 中央流行疫情指揮中心今(20)日公布國內新增18,218例COVID-19確定病例，分別為17,869例本土個案及349例境外移入；另確診個案中新增61例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/AEs6aqJ3EtXQd5EhyGL1OQ?typeid=9
2023-01-21,21078,20773,0,305,33,發佈日期：2023-01-21 中央流行疫情指揮中心今(21)日公布國內新增21,078例COVID-19確定病例，分別為20,773例本土個案及305例境外移入；另確診個案中新增33例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/uMCFV-gwuDDnHw5HD5AqGQ?typeid=9
2023-01-22,19187,18871,0,316,27,發佈日期：2023-01-22 中央流行疫情指揮中心今(22)日公布國內新增19,187例COVID-19確定病例，分別為18,871例本土個案及316例境外移入；另確診個案中新增27例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/0mrpkdeWcwWUAbwsOLgc2g?typeid=9
